Season,Gamecode,NUM_ANOT,TEAM,ID_PLAYER,PLAYER,ID_ACTION,ACTION,POINTS,COORD_X,COORD_Y,ZONE,FASTBREAK,SECOND_CHANCE,POINTS_OFF_TURNOVER,MINUTE,CONSOLE,POINTS_A,POINTS_B,UTC
2025,1,516,TEL,P011193,"BLATT, TAMIR",3FGM,Three Pointer,3,188,865,I,0,0,0,35,05:36,75,72,20250930191903
2025,1,517,IST,P012710,"OSMANI, ERCAN",3FGA,Missed Three Pointer,0,-526,545,H,0,0,0,35,05:15,75,72,20250930191924
2025,1,519,TEL,P013289,"SANTOS, MARCIO",2FGM,Two Pointer,2,432,112,E,0,0,0,35,06:00,75,74,20250930191939
2025,1,522,IST,P007200,"LARKIN, SHANE",2FGA,Missed Two Pointer,0,-451,119,F,0,0,0,36,04:38,75,74,20250930192001
2025,1,530,TEL,P006835,"HOARD, JAYLEN",FTM,Free Throw In,1,-1,-1, ,1,0,0,36,04:33,75,75,20250930192042
2025,1,532,TEL,P006835,"HOARD, JAYLEN",FTM,Free Throw In,1,-1,-1, ,0,0,0,36,04:33,75,76,20250930192056
2025,1,533,IST,P007109,"SMITS, ROLANDS",3FGM,Three Pointer,3,-570,614,H,0,0,0,36,04:09,78,76,20250930192122
2025,1,536,TEL,P006835,"HOARD, JAYLEN",2FGA,Missed Two Pointer,0,451,188,G,0,0,0,37,03:52,78,76,20250930192139
2025,1,542,IST,P007109,"SMITS, ROLANDS",2FGM,Two Pointer,2,-6,31,A,0,0,0,37,03:38,80,76,20250930192223
2025,1,545,TEL,P011219,"SORKIN, ROMAN",2FGA,Missed Two Pointer,0,-338,50,D,0,0,0,37,03:18,80,76,20250930192428
2025,1,553,TEL,P013403,"WALKER IV, LONNIE",3FGA,Missed Three Pointer,0,558,564,I,0,0,0,38,02:40,80,76,20250930192547
2025,1,566,IST,P007109,"SMITS, ROLANDS",2FGM,Two Pointer,2,-6,6,A,0,0,1,38,02:23,82,76,20250930192953
2025,1,573,IST,P009754,"LOYD, JORDAN",3FGM,Three Pointer,3,-269,821,H,0,0,1,39,01:44,85,76,20250930193232
2025,1,577,TEL,P007990,"DIBARTOLOMEO, JOHN",FTM,Free Throw In,1,-1,-1, ,0,0,0,39,01:45,85,77,20250930193327
2025,1,578,TEL,P007990,"DIBARTOLOMEO, JOHN",FTM,Free Throw In,1,-1,-1, ,0,0,0,39,01:45,85,78,20250930193335
2025,1,579,IST,P009549,"CORDINIER, ISAIA",3FGA,Missed Three Pointer,0,-363,765,H,0,0,0,39,02:00,85,78,20250930193402
2025,1,582,TEL,P006835,"HOARD, JAYLEN",2FGA,Missed Two Pointer,0,-12,276,D,0,0,0,40,00:50,85,78,20250930193413
2025,1,584,IST,P009549,"CORDINIER, ISAIA",3FGA,Missed Three Pointer,0,-489,708,H,0,0,0,40,00:25,85,78,20250930193437
2025,1,586,TEL,P014127,"BRISSETT, O'SHAE J",3FGA,Missed Three Pointer,0,483,671,I,0,0,0,40,00:14,85,78,20250930193449
